ANTName,ID,LON,LAT,Towerheight
Eli,1,35.2619118,32.0558469,5
Eli,5,35.261343,32.0553962,5
Eli,9,35.2617149,32.0541443,5
Eli,13,35.2625147,32.0534328,5
Eli,17,35.2631041,32.0540046,5
Eli,21,35.2634206,32.0545189,5
Eli,25,35.2629854,32.055079,5
Eli,29,35.2625211,32.0556577,5
Eli,33,35.2730231,32.0884285,5
Eli,37,35.2728193,32.0870014,5
Eli,41,35.2748384,32.0863137,5
Eli,45,35.2759414,32.0880649,5
Eli,49,35.2757804,32.0892466,5
Eli,53,35.2740209,32.0890557,5
Eli,57,35.2524858,32.0666624,5
Eli,61,35.2533078,32.0659542,5
Eli,65,35.2548034,32.0667043,5
Eli,69,35.2551213,32.0669216,5
Eli,73,35.2564066,32.0671645,5
Eli,77,35.2574776,32.0669127,5
Eli,81,35.258293,32.0665856,5
Eli,85,35.2594466,32.066777,5
Eli,89,35.2600858,32.0667352,5
Eli,93,35.2609484,32.0667693,5
Eli,97,35.2618724,32.06729,5
Eli,101,35.263475,32.0680089,5
Eli,105,35.2647695,32.0684444,5
Eli,109,35.2655669,32.0686997,5
Eli,113,35.2670896,32.0693454,5
Eli,117,35.2677291,32.0692265,5
Eli,121,35.2686678,32.0690811,5
Eli,125,35.2694403,32.0688629,5
Eli,129,35.2700519,32.0693174,5
Eli,133,35.2706473,32.0702675,5
Eli,137,35.2705937,32.0714085,5
Eli,141,35.2697729,32.0724586,5
Eli,145,35.2687856,32.0728754,5
Eli,149,35.2681319,32.0729782,5
Eli,153,35.2671384,32.0738196,5
Eli,157,35.2666503,32.0743647,5
Eli,161,35.2660153,32.0753689,5
Eli,165,35.2657021,32.0760628,5
Eli,169,35.2646354,32.0763321,5
Eli,173,35.2641265,32.0758067,5
Eli,177,35.2641965,32.0745205,5
Eli,181,35.2638776,32.0732575,5
Eli,185,35.2635346,32.0721902,5
Eli,189,35.2625089,32.0710417,5
Eli,193,35.2617268,32.0706628,5
Eli,197,35.2612804,32.0709278,5
Eli,201,35.2593712,32.071036,5
Eli,205,35.2584373,32.0706948,5
Eli,209,35.2580736,32.0692361,5
Eli,213,35.2571809,32.0693729,5
Eli,217,35.2553881,32.0686861,5
Eli,221,35.2537043,32.069305,5
Eli,225,35.2526732,32.0685183,5
Eli,229,35.252228,32.0679703,5
Eli,233,35.2742497,32.0760578,5
Eli,237,35.274905,32.0776664,5
Eli,241,35.2743997,32.0778805,5
Eli,245,35.2736588,32.0779023,5
Eli,249,35.2728142,32.078313,5
Eli,253,35.2714465,32.0784225,5
Eli,257,35.2708237,32.0776632,5
Eli,261,35.2716861,32.0768995,5
Eli,265,35.2732458,32.0761912,5
Eli,269,35.2728398,32.0758605,5
Eli,273,35.2721698,32.0758461,5
Eli,277,35.2723992,32.0755743,5
Eli,281,35.2743231,32.0755006,5
Eli,285,35.2786192,32.0767748,5
Eli,289,35.2772485,32.0774039,5
Eli,293,35.2764286,32.0771064,5
Eli,297,35.2764109,32.0763418,5
Eli,301,35.2769621,32.0751289,5
Eli,305,35.2775473,32.0744613,5
Eli,309,35.2788893,32.0752679,5
Eli,313,35.2795582,32.0758832,5
Eli,317,35.2785506,32.0765596,5
Eli,321,35.2822816,32.0694743,5
Eli,325,35.2828479,32.0686042,5
Eli,329,35.2835619,32.0678014,5
Eli,333,35.2845911,32.067114,5
Eli,337,35.2857495,32.0678177,5
Eli,341,35.2867133,32.0682405,5
Eli,345,35.2868739,32.0689753,5
Eli,349,35.2853714,32.0699696,5
Eli,353,35.2846634,32.0681378,5
Eli,357,35.2836451,32.0680509,5
Eli,361,35.283046,32.069032,5
Oranit,365,34.9932908,32.1345422,5
Oranit,369,34.9920253,32.1359557,5
Oranit,373,34.989437,32.1377043,5
Oranit,377,34.988473,32.1381061,5
Oranit,381,34.9871448,32.1373886,5
Oranit,385,34.9879664,32.1356802,5
Oranit,389,34.9887635,32.134128,5
Oranit,393,34.9881074,32.132965,5
Oranit,397,34.9874825,32.1320158,5
Oranit,401,34.9867127,32.1318639,5
Oranit,405,34.9865102,32.1312574,5
Oranit,409,34.9853863,32.1300043,5
Oranit,413,34.985102,32.1281617,5
Oranit,417,34.9851761,32.1259257,5
Oranit,421,34.9854226,32.1249282,5
Oranit,425,34.9866102,32.123173,5
Oranit,429,34.9864911,32.1243594,5
Oranit,433,34.9883473,32.1252872,5
Oranit,437,34.9896631,32.1258627,5
Oranit,441,34.987589,32.125776,5
Oranit,445,34.9871614,32.1258014,5
Oranit,449,34.9882429,32.1271273,5
Oranit,453,34.9873234,32.1276329,5
Oranit,457,34.9873119,32.1281488,5
Oranit,461,34.9882303,32.1283907,5
Oranit,465,34.989003,32.1287032,5
Oranit,469,34.9902288,32.128596,5
Oranit,473,34.9914207,32.1291074,5
Oranit,477,34.991259,32.1279419,5
Oranit,481,34.9904504,32.1262394,5
Oranit,485,34.9901448,32.1232886,5
Oranit,489,34.9913362,32.1233886,5
Oranit,493,34.9917711,32.1232799,5
Oranit,497,34.9925593,32.1246797,5
Oranit,501,34.9933863,32.1260202,5
Oranit,505,34.992103,32.1276484,5
Neve Daniel,509,35.1406552,31.676241,5
Neve Daniel,513,35.1411724,31.6753875,5
Neve Daniel,517,35.1425317,31.6748406,5
Neve Daniel,521,35.1430542,31.6750638,5
Neve Daniel,525,35.1442778,31.6757331,5
Neve Daniel,529,35.1449725,31.6762321,5
Neve Daniel,533,35.1450436,31.6765754,5
Neve Daniel,537,35.1459212,31.6764538,5
Neve Daniel,541,35.1471529,31.6764782,5
Neve Daniel,545,35.1472993,31.6767987,5
Neve Daniel,549,35.1464434,31.6777155,5
Neve Daniel,553,35.1455586,31.6785752,5
Neve Daniel,557,35.1446517,31.6792586,5
Neve Daniel,561,35.1451562,31.6809764,5
Neve Daniel,565,35.1449899,31.6823231,5
Neve Daniel,569,35.1442011,31.6824221,5
Neve Daniel,573,35.1436864,31.6810129,5
Neve Daniel,577,35.1431929,31.6803556,5
Neve Daniel,581,35.1421146,31.680351,5
Neve Daniel,585,35.1411488,31.6808518,5
Neve Daniel,589,35.1402159,31.6807619,5
Neve Daniel,593,35.1404144,31.6800406,5
Neve Daniel,597,35.1412188,31.6795521,5
Neve Daniel,601,35.141289,31.6789988,5
Neve Daniel,605,35.1416533,31.6783013,5
Neve Daniel,609,35.1413529,31.6773154,5
Neve Daniel,613,35.1407845,31.6767584,5
Rosh Tzurim,617,35.1284529,31.668807,5
Rosh Tzurim,621,35.1275401,31.6691561,5
Rosh Tzurim,625,35.1262682,31.6710421,5
Rosh Tzurim,629,35.1252107,31.6710054,5
Rosh Tzurim,633,35.1243499,31.670003,5
Rosh Tzurim,637,35.1238301,31.6688548,5
Rosh Tzurim,641,35.123611,31.6672117,5
Rosh Tzurim,645,35.1241121,31.6663801,5
Rosh Tzurim,649,35.1269466,31.6662223,5
Rosh Tzurim,653,35.1284605,31.6670537,5
Rosh Tzurim,657,35.1285983,31.6681584,5
Hamra,661,35.4376268,32.2015405,5
Hamra,665,35.4362376,32.2018087,5
Hamra,669,35.4347005,32.2009097,5
Hamra,673,35.4351502,32.1990173,5
Hamra,677,35.4368072,32.1975417,5
Hamra,681,35.4389495,32.1987642,5
Hamra,685,35.439922,32.2000174,5
Hamra,689,35.4408231,32.201539,5
Hamra,693,35.4397243,32.2023007,5
Hamra,697,35.4382801,32.2019383,5
Har Bracha,701,35.2627985,32.1935888,5
Har Bracha,705,35.2630008,32.1921079,5
Har Bracha,709,35.2629871,32.1912892,5
Har Bracha,713,35.2638778,32.1905612,5
Har Bracha,717,35.2652106,32.1903678,5
