ANTName,ID,LAT,LON,Towerheight
Adora,110,31.5522,35.0189,124
Alei Zahav,81,32.0717,35.0642,127
Alfei Menashe,91,32.1667,35.0167,60
Almog,34,31.7897,35.4611,51
Almon (Anatot),82,31.8317,35.2954,187
Alon Shvut,8,31.6547,35.1278,50
Argaman,3,32.1725,35.5219,61
Ariel,48,32.106,35.1879,229.00
Asfar (Metzad),92,31.5858,35.1872,66.00
Ateret,67,31.9997,35.1769,163.00
Avnat,93,31.6792,35.4368,52.00
Avnei Hefetz,135,32.2846,35.074,47.00
Barkan,68,32.1075,35.1057,50.00
Bat Ayin,130,31.6572,35.1023,116.00
Beit Aryeh,69,32.0355,35.0538,87.00
