ANTName,ID,LON,LAT,Towerheight
Eli,1,35.2619118,32.0558469,5
Eli,2,35.2616872,32.0557801,5
Eli,3,35.2614779,32.0556498,5
Eli,4,35.2614274,32.0555869,5
Eli,5,35.261343,32.0553962,5
Eli,6,35.2613518,32.0552037,5
Eli,7,35.2614759,32.0548545,5
Eli,8,35.2615945,32.0544724,5
Eli,9,35.2617149,32.0541443,5
Eli,10,35.2618649,32.0538935,5
Eli,11,35.2620806,32.0537037,5
Eli,12,35.2622793,32.0535398,5
Eli,13,35.2625147,32.0534328,5
Eli,14,35.2626541,32.0533685,5
Eli,15,35.2627882,32.0533566,5
Eli,16,35.2629836,32.0537028,5
Eli,17,35.2631041,32.0540046,5
Eli,18,35.2631294,32.054099,5
Eli,19,35.2633915,32.0540613,5
Eli,20,35.2634325,32.0543509,5
Eli,21,35.2634206,32.0545189,5
Eli,22,35.2633893,32.0547577,5
Eli,23,35.2633182,32.0550426,5
Eli,24,35.2630198,32.0550126,5
Eli,25,35.2629854,32.055079,5
Eli,26,35.2628748,32.0552249,5
Eli,27,35.262584,32.0554162,5
Eli,28,35.2626716,32.0555387,5
Eli,29,35.2625211,32.0556577,5
Eli,30,35.2621622,32.0558336,5
Eli,31,35.2619118,32.0558469,5
Eli,32,35.2733235,32.0887103,5
Eli,33,35.2730231,32.0884285,5
Eli,34,35.2728836,32.0881194,5
Eli,35,35.2727764,32.0877013,5
Eli,36,35.2727656,32.0873922,5
Eli,37,35.2728193,32.0870014,5
Eli,38,35.2728729,32.0866923,5
Eli,39,35.2730768,32.0862469,5
Eli,40,35.2736153,32.0856865,5
Eli,41,35.2748384,32.0863137,5
Eli,42,35.2752547,32.0866014,5
Eli,43,35.2755036,32.0869137,5
Eli,44,35.2756731,32.087265,5
Eli,45,35.2759414,32.0880649,5
Eli,46,35.275995,32.0886466,5
Eli,47,35.2760057,32.0888375,5
Eli,48,35.2759199,32.0891193,5
Eli,49,35.2757804,32.0892466,5
Eli,50,35.2756216,32.0893134,5
Eli,51,35.2751474,32.0892738,5
Eli,52,35.2746432,32.089192,5
Eli,53,35.2740209,32.0890557,5
Eli,54,35.2733235,32.0887103,5
Eli,55,35.2522326,32.0674118,5
Eli,56,35.2523672,32.0669852,5
Eli,57,35.2524858,32.0666624,5
Eli,58,35.2525984,32.0664438,5
Eli,59,35.2527628,32.0662497,5
Eli,60,35.2529718,32.0660771,5
Eli,61,35.2533078,32.0659542,5
Eli,62,35.2536093,32.065881,5
Eli,63,35.2540323,32.0658548,5
Eli,64,35.25479,32.0659005,5
Eli,65,35.2548034,32.0667043,5
Eli,66,35.2549231,32.0667552,5
Eli,67,35.2550333,32.0668443,5
Eli,68,35.255066,32.0668811,5
Eli,69,35.2551213,32.0669216,5
Eli,70,35.2553788,32.0669777,5
Eli,71,35.255941,32.0671129,5
Eli,72,35.2561842,32.0671509,5
Eli,73,35.2564066,32.0671645,5
Eli,74,35.256667,32.0671582,5
Eli,75,35.2569414,32.0671084,5
Eli,76,35.2571517,32.0670388,5
Eli,77,35.2574776,32.0669127,5
Eli,78,35.2577254,32.0668234,5
Eli,79,35.2578781,32.066752,5
Eli,80,35.2580951,32.0666452,5
Eli,81,35.258293,32.0665856,5
Eli,82,35.2586621,32.0665679,5
Eli,83,35.2589729,32.0665872,5
Eli,84,35.2591577,32.0666606,5
Eli,85,35.2594466,32.066777,5
Eli,86,35.2595574,32.0667965,5
Eli,87,35.2596722,32.0668081,5
Eli,88,35.259806,32.0667859,5
Eli,89,35.2600858,32.0667352,5
Eli,90,35.2603108,32.0667129,5
Eli,91,35.2605356,32.0666945,5
Eli,92,35.2607386,32.0667179,5
Eli,93,35.2609484,32.0667693,5
Eli,94,35.2611946,32.0669084,5
Eli,95,35.2615213,32.0671279,5
Eli,96,35.2616825,32.0672184,5
Eli,97,35.2618724,32.06729,5
Eli,98,35.2622782,32.0674537,5
Eli,99,35.263033,32.0677394,5
Eli,100,35.2632189,32.0678451,5
Eli,101,35.263475,32.0680089,5
Eli,102,35.2637443,32.0681446,5
Eli,103,35.2644792,32.0683903,5
Eli,104,35.264708,32.0684497,5
Eli,105,35.2647695,32.0684444,5
Eli,106,35.2649186,32.0684681,5
Eli,107,35.2655438,32.0684728,5
Eli,108,35.2655446,32.0686415,5
Eli,109,35.2655669,32.0686997,5
Eli,110,35.2660406,32.0690038,5
Eli,111,35.2661884,32.0690677,5
Eli,112,35.2663718,32.0691315,5
Eli,113,35.2670896,32.0693454,5
Eli,114,35.2673712,32.0695082,5
Eli,115,35.2673482,32.0690811,5
Eli,116,35.2675252,32.0691765,5
Eli,117,35.2677291,32.0692265,5
Eli,118,35.2680617,32.069272,5
Eli,119,35.2682494,32.069272,5
Eli,120,35.2684533,32.069222,5
Eli,121,35.2686678,32.0690811,5
Eli,122,35.2688771,32.068931,5
Eli,123,35.2690702,32.0688674,5
Eli,124,35.2692311,32.0688492,5
Eli,125,35.2694403,32.0688629,5
Eli,126,35.2696173,32.0689219,5
Eli,127,35.2697783,32.0690174,5
Eli,128,35.2698963,32.0691492,5
Eli,129,35.2700519,32.0693174,5
Eli,130,35.2702343,32.0695265,5
Eli,131,35.2703952,32.0697084,5
Eli,132,35.2705186,32.0699175,5
Eli,133,35.2706473,32.0702675,5
Eli,134,35.2707278,32.0705539,5
Eli,135,35.2707278,32.0707312,5
Eli,136,35.2707278,32.0710539,5
Eli,137,35.2705937,32.0714085,5
Eli,138,35.2704703,32.071604,5
Eli,139,35.2702343,32.0718813,5
Eli,140,35.2699231,32.0722995,5
Eli,141,35.2697729,32.0724586,5
Eli,142,35.2695047,32.0724722,5
Eli,143,35.2691614,32.0724722,5
Eli,144,35.2690426,32.0727685,5
Eli,145,35.2687856,32.0728754,5
Eli,146,35.2686246,32.0728942,5
Eli,147,35.2684858,32.0729104,5
Eli,148,35.2682717,32.0728695,5
Eli,149,35.2681319,32.0729782,5
Eli,150,35.2678878,32.0731784,5
Eli,151,35.2676877,32.0734098,5
Eli,152,35.2674179,32.0736307,5
Eli,153,35.2671384,32.0738196,5
Eli,154,35.2669198,32.0739412,5
Eli,155,35.2667344,32.0740423,5
Eli,156,35.2665945,32.0740954,5
Eli,157,35.2666503,32.0743647,5
Eli,158,35.2666273,32.07457,5
Eli,159,35.2664422,32.0749304,5
Eli,160,35.2662646,32.0751716,5
Eli,161,35.2660153,32.0753689,5
Eli,162,35.2659639,32.0755939,5
Eli,163,35.2659271,32.0757578,5
Eli,164,35.2658512,32.0759167,5
Eli,165,35.2657021,32.0760628,5
Eli,166,35.265476,32.0761853,5
Eli,167,35.2651694,32.0762626,5
Eli,168,35.2648483,32.0763208,5
Eli,169,35.2646354,32.0763321,5
Eli,170,35.2644771,32.0763019,5
Eli,171,35.264321,32.0762348,5
Eli,172,35.2642204,32.0761262,5
Eli,173,35.2641265,32.0758067,5
Eli,174,35.2640855,32.0754432,5
Eli,175,35.2640999,32.0751761,5
Eli,176,35.2641051,32.0750798,5
Eli,177,35.2641965,32.0745205,5
Eli,178,35.2642427,32.0743805,5
Eli,179,35.2641552,32.0742078,5
Eli,180,35.264042,32.0738023,5
Eli,181,35.2638776,32.0732575,5
Eli,182,35.2638355,32.0729988,5
Eli,183,35.2637647,32.0727029,5
Eli,184,35.2636821,32.0724395,5
Eli,185,35.2635346,32.0721902,5
Eli,186,35.2633618,32.0719529,5
Eli,187,35.2629812,32.0715267,5
Eli,188,35.262738,32.0712369,5
Eli,189,35.2625089,32.0710417,5
Eli,190,35.2623324,32.0708953,5
Eli,191,35.2621803,32.0708146,5
Eli,192,35.2617836,32.0706653,5
Eli,193,35.2617268,32.0706628,5
Eli,194,35.2616779,32.0706817,5
Eli,195,35.2615229,32.0708269,5
Eli,196,35.2614156,32.0708951,5
Eli,197,35.2612804,32.0709278,5
Eli,198,35.2604653,32.0710685,5
Eli,199,35.2602883,32.0710865,5
Eli,200,35.2600855,32.0710858,5
Eli,201,35.2593712,32.071036,5
Eli,202,35.2590824,32.0709992,5
Eli,203,35.2588555,32.0709312,5
Eli,204,35.2587179,32.0708674,5
Eli,205,35.2584373,32.0706948,5
Eli,206,35.2586902,32.0704276,5
Eli,207,35.258363,32.0701862,5
Eli,208,35.258002,32.0700139,5
Eli,209,35.2580736,32.0692361,5
Eli,210,35.2579111,32.0692586,5
Eli,211,35.2575903,32.0694041,5
Eli,212,35.2574283,32.0694186,5
Eli,213,35.2571809,32.0693729,5
Eli,214,35.2567378,32.0691284,5
Eli,215,35.2562679,32.0688588,5
Eli,216,35.25588,32.0687465,5
Eli,217,35.2553881,32.0686861,5
Eli,218,35.254937,32.0686411,5
Eli,219,35.2546269,32.0686129,5
Eli,220,35.2540747,32.0689404,5
Eli,221,35.2537043,32.069305,5
Eli,222,35.253608,32.0693225,5
Eli,223,35.2531649,32.0692452,5
Eli,224,35.2531102,32.0691009,5
Eli,225,35.2526732,32.0685183,5
Eli,226,35.2527553,32.0681496,5
Eli,227,35.2526569,32.0680655,5
Eli,228,35.2522618,32.0681669,5
Eli,229,35.252228,32.0679703,5
Eli,230,35.2522065,32.0677801,5
Eli,231,35.2522014,32.0675859,5
Eli,232,35.2522326,32.0674118,5
Eli,233,35.2742497,32.0760578,5
Eli,234,35.2742827,32.0763966,5
Eli,235,35.2744367,32.0767611,5
Eli,236,35.2745445,32.0770152,5
Eli,237,35.274905,32.0776664,5
Eli,238,35.2748677,32.0776928,5
Eli,239,35.2747833,32.0777178,5
Eli,240,35.2746258,32.0779414,5
Eli,241,35.2743997,32.0778805,5
Eli,242,35.274232,32.0778161,5
Eli,243,35.2740035,32.077768,5
Eli,244,35.2738879,32.0777536,5
Eli,245,35.2736588,32.0779023,5
Eli,246,35.2734558,32.0780105,5
Eli,247,35.2732667,32.0781417,5
Eli,248,35.27305,32.0782442,5
Eli,249,35.2728142,32.078313,5
Eli,250,35.272483,32.078396,5
Eli,251,35.2720774,32.0785303,5
Eli,252,35.2717204,32.078745,5
Eli,253,35.2714465,32.0784225,5
Eli,254,35.2716123,32.0784043,5
Eli,255,35.2712599,32.0777039,5
Eli,256,35.2712063,32.0775922,5
Eli,257,35.2708237,32.0776632,5
