ANTName,ID,LON,LAT,Towerheight
Eli,1,35.2619118,32.0558469,2
Eli,2,35.261343,32.0553962,2
Eli,3,35.2617149,32.0541443,2
Eli,4,35.2625147,32.0534328,2
Eli,5,35.2631041,32.0540046,2
Eli,6,35.2634206,32.0545189,2
Eli,7,35.2629854,32.055079,2
Eli,8,35.2625211,32.0556577,2
Eli,9,35.2730231,32.0884285,2
Eli,10,35.2728193,32.0870014,2
Eli,11,35.2748384,32.0863137,2
Eli,12,35.2759414,32.0880649,2
Eli,13,35.2757804,32.0892466,2
Eli,14,35.2740209,32.0890557,2
Eli,15,35.2524858,32.0666624,2
Eli,16,35.2533078,32.0659542,2
Eli,17,35.2548034,32.0667043,2
Eli,18,35.2551213,32.0669216,2
Eli,19,35.2564066,32.0671645,2
Eli,20,35.2574776,32.0669127,2
Eli,21,35.258293,32.0665856,2
Eli,22,35.2594466,32.066777,2
Eli,23,35.2600858,32.0667352,2
Eli,24,35.2609484,32.0667693,2
Eli,25,35.2618724,32.06729,2
Eli,26,35.263475,32.0680089,2
Eli,27,35.2647695,32.0684444,2
Eli,28,35.2655669,32.0686997,2
Eli,29,35.2670896,32.0693454,2
Eli,30,35.2677291,32.0692265,2
Eli,31,35.2686678,32.0690811,2
Eli,32,35.2694403,32.0688629,2
Eli,33,35.2700519,32.0693174,2
Eli,34,35.2706473,32.0702675,2
Eli,35,35.2705937,32.0714085,2
Eli,36,35.2697729,32.0724586,2
Eli,37,35.2687856,32.0728754,2
Eli,38,35.2681319,32.0729782,2
Eli,39,35.2671384,32.0738196,2
Eli,40,35.2666503,32.0743647,2
Eli,41,35.2660153,32.0753689,2
Eli,42,35.2657021,32.0760628,2
Eli,43,35.2646354,32.0763321,2
Eli,44,35.2641265,32.0758067,2
Eli,45,35.2641965,32.0745205,2
Eli,46,35.2638776,32.0732575,2
Eli,47,35.2635346,32.0721902,2
Eli,48,35.2625089,32.0710417,2
Eli,49,35.2617268,32.0706628,2
Eli,50,35.2612804,32.0709278,2
Eli,51,35.2593712,32.071036,2
Eli,52,35.2584373,32.0706948,2
Eli,53,35.2580736,32.0692361,2
Eli,54,35.2571809,32.0693729,2
Eli,55,35.2553881,32.0686861,2
Eli,56,35.2537043,32.069305,2
Eli,57,35.2526732,32.0685183,2
Eli,58,35.252228,32.0679703,2
Eli,59,35.2742497,32.0760578,2
Eli,60,35.274905,32.0776664,2
Eli,61,35.2743997,32.0778805,2
Eli,62,35.2736588,32.0779023,2
Eli,63,35.2728142,32.078313,2
Eli,64,35.2714465,32.0784225,2
Eli,65,35.2708237,32.0776632,2
Eli,66,35.2716861,32.0768995,2
Eli,67,35.2732458,32.0761912,2
Eli,68,35.2728398,32.0758605,2
Eli,69,35.2721698,32.0758461,2
Eli,70,35.2723992,32.0755743,2
Eli,71,35.2743231,32.0755006,2
Eli,72,35.2786192,32.0767748,2
Eli,73,35.2772485,32.0774039,2
Eli,74,35.2764286,32.0771064,2
Eli,75,35.2764109,32.0763418,2
Eli,76,35.2769621,32.0751289,2
Eli,77,35.2775473,32.0744613,2
Eli,78,35.2788893,32.0752679,2
Eli,79,35.2795582,32.0758832,2
Eli,80,35.2785506,32.0765596,2
Eli,81,35.2822816,32.0694743,2
Eli,82,35.2828479,32.0686042,2
Eli,83,35.2835619,32.0678014,2
Eli,84,35.2845911,32.067114,2
Eli,85,35.2857495,32.0678177,2
Eli,86,35.2867133,32.0682405,2
Eli,87,35.2868739,32.0689753,2
Eli,88,35.2853714,32.0699696,2
Eli,89,35.2846634,32.0681378,2
Eli,90,35.2836451,32.0680509,2
Eli,91,35.283046,32.069032,2
Oranit,92,34.9932908,32.1345422,2
Oranit,93,34.9920253,32.1359557,2
Oranit,94,34.989437,32.1377043,2
Oranit,95,34.988473,32.1381061,2
Oranit,96,34.9871448,32.1373886,2
Oranit,97,34.9879664,32.1356802,2
Oranit,98,34.9887635,32.134128,2
Oranit,99,34.9881074,32.132965,2
Oranit,100,34.9874825,32.1320158,2
Oranit,101,34.9867127,32.1318639,2
Oranit,102,34.9865102,32.1312574,2
Oranit,103,34.9853863,32.1300043,2
Oranit,104,34.985102,32.1281617,2
Oranit,105,34.9851761,32.1259257,2
