Name,Regional Council,Latitude,Longitude,Altitude Above (m)
Adora,Har Hebron,31.5522,35.0189,124
Alei Zahav,Shomron,32.0717,35.0642,127
Alfei Menashe,Shomron,32.1667,35.0167,60
Almog,Megilot,31.7897,35.4611,51
Almon (Anatot),Binyamin,31.8317,35.2954,187
Alon Shvut,Gush Etzion,31.6547,35.1278,50
Argaman,Bik'at HaYarden,32.1725,35.5219,61
Ariel,Shomron,32.106,35.1879,229.00
Asfar (Metzad),Gush Etzion,31.5858,35.1872,66.00
Ateret,Mateh Binyamin,31.9997,35.1769,163.00
Avnat,Megilot,31.6792,35.4368,52.00
Avnei Hefetz,Shomron,32.2846,35.074,47.00
Barkan,Shomron,32.1075,35.1057,50.00
Bat Ayin,Gush Etzion,31.6572,35.1023,116.00
Beit Aryeh,Shomron,32.0355,35.0538,87.00
Beit El,Mateh Binyamin,31.9438,35.2225,
Beit HaArava,Megilot,31.8082,35.4758,
Beit Horon,Mateh Binyamin,31.8767,35.1287,
Beit Yatir (Mezadot Yehuda),Har Hebron,31.3667,35.1117,
Beitar Illit,Gush Etzion,31.6978,35.1156,
Beka'ot,Bik'at HaYarden,32.2421,35.4527,
Brukhin,Shomron,32.0804,35.0861,
Dolev,Mateh Binyamin,31.9259,35.1352,
East Talpiot,,31.75,35.235,
Efrat(a),Gush Etzion,31.658,35.1531,
Einav,Shomron,32.2844,35.126,
El'azar,Gush Etzion,31.66,35.142,
Eli,Mateh Binyamin,32.0714,35.2653,
Elkana,Shomron,32.11,35.0343,
Elon Moreh,Shomron,32.2339,35.3313,
Eshkolot,Har Hebron,31.3908,34.9047,
Etz Efraim,Shomron,32.1189,35.0466,
French Hill,,31.8057,35.239,
Ganei Modi'in,Mateh Binyamin,31.931,35.0216,
Ganim,Shomron,32.4501,35.3378,
Geva Binyamin (Adam),Mateh Binyamin,31.85,35.2738,
"Gilgal, Bik'at HaYarden",Bik'at HaYarden,31.9997,35.4444,
Gilo,,31.7314,35.1864,
Gitit,Bik'at HaYarden,32.1011,35.396,
Giv'at Hamivtar,,31.8031,35.2313,
Giv'at Ze'ev,Mateh Binyamin,31.8642,35.1697,
Giv'on Hadasha,Mateh Binyamin,31.8487,35.1576,
Hagai,Har Hebron,31.4931,35.0808,
Halamish,Mateh Binyamin,32.0081,35.1272,
Hamra,Bik'at HaYarden,32.199,35.4349,
Har Adar (Giv'at HaRadar),Mateh Binyamin,31.8261,35.1297,
Har Brakha (Brakha),Shomron,32.1928,35.2653,
Har Gilo,Gush Etzion,31.7221,35.1715,
"Har Homa, Givat Hamatos",,31.7253,35.2217,
Hashmonaim,Mateh Binyamin,31.931,35.0216,
Hebron,Har Hebron,31.5333,35.095,
Hemdat (Nahal),Bik'at HaYarden,32.2519,35.5269,
